id,pre,code,item,category,type_material,size,color,description,buying_price,selling_price,quantity
1 ,SC,SC0001,Shirt,Casual,Cotton,M,Blue,Blue casual cotton shirt,10,15,1
2 ,SC,SC0002,Shirt,Casual,Cotton,L,Red,Red casual cotton shirt,10,15,1
3 ,SC,SC0003,Shirt,Casual,Linen,S,White,White casual linen shirt,12,18,1
4 ,SC,SC0004,Shirt,Casual,Polyester,XL,Black,Black casual polyester shirt,8,12,1
1 ,SO,SO0001,Shirt,Official,Cotton,M,White,White official cotton shirt,15,25,1
2 ,SO,SO0002,Shirt,Official,Silk,L,Blue,Blue official silk shirt,20,30,1
3 ,SO,SO0003,Shirt,Official,Polyester,XL,Grey,Grey official polyester shirt,10,20,1
4 ,SO,SO0004,Shirt,Official,Cotton,S,Pink,Pink official cotton shirt,12,18,1
1 ,TC,TC0001,Trouser,Casual,Denim,32,Blue,Blue casual denim jeans,20,35,1
2 ,TC,TC0002,Trouser,Casual,Chino,34,Khaki,Khaki casual chino pants,18,30,1
3 ,TC,TC0003,Trouser,Casual,Denim,36,Black,Black casual denim jeans,22,37,1
4 ,TC,TC0004,Trouser,Casual,Cotton,30,Green,Green casual cotton pants,15,25,1
1 ,TO,TO0001,Trouser,Official,Wool,32,Grey,Grey official wool trousers,25,40,1
2 ,TO,TO0002,Trouser,Official,Polyester,34,Black,Black official polyester trousers,20,30,1
3 ,TO,TO0003,Trouser,Official,Cotton,36,Navy,Navy official cotton trousers,22,35,1
4 ,TO,TO0004,Trouser,Official,Linen,30,White,White official linen trousers,28,45,1
1 ,TSC,TSC0001,T-Shirt,Casual,Cotton,M,White,White casual cotton t-shirt,8,12,1
2 ,TSC,TSC0002,T-Shirt,Casual,Polyester,L,Black,Black casual polyester t-shirt,7,10,1
3 ,TSC,TSC0003,T-Shirt,Casual,Linen,XL,Red,Red casual linen t-shirt,10,15,1
4 ,TSC,TSC0004,T-Shirt,Casual,Blended,S,Green,Green casual blended t-shirt,6,9,1
1 ,TSO,TSO0001,T-Shirt,Official,Cotton,L,Blue,Blue official cotton t-shirt,12,18,1
2 ,TSO,TSO0002,T-Shirt,Official,Silk,M,White,White official silk t-shirt,15,25,1
3 ,TSO,TSO0003,T-Shirt,Official,Polyester,XL,Grey,Grey official polyester t-shirt,10,17,1
